               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035212,            0.022591,           0.0042601,             0.64508,             0.54425,             0.58365,             0.32652,            0.039455,            0.026786,           0.0090927,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035217,            0.022823,           0.0041918,             0.64104,             0.52697,             0.57072,             0.31877,            0.040539,            0.026833,            0.010517,            0.008218,            0.008218,            0.008218
                  38,            0.035124,            0.022572,           0.0041824,             0.64846,             0.53765,             0.57838,             0.32615,            0.039813,            0.026391,            0.010438,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03485,            0.022322,           0.0041331,              0.6643,             0.51554,             0.57404,             0.32513,            0.039172,            0.026967,           0.0093548,            0.008119,            0.008119,            0.008119
                  40,            0.034838,            0.022692,           0.0040354,             0.64712,             0.50965,             0.56757,             0.32143,            0.039742,            0.027788,            0.010315,           0.0080695,           0.0080695,           0.0080695
                  41,            0.034441,            0.022238,           0.0041343,             0.65516,             0.52659,             0.57702,             0.32559,            0.039542,            0.026443,            0.010577,             0.00802,             0.00802,             0.00802
                  42,            0.034718,            0.022544,            0.004122,               0.652,             0.53749,              0.5773,             0.32603,            0.040022,            0.026952,           0.0099319,           0.0079705,           0.0079705,           0.0079705
                  43,             0.03442,            0.022295,           0.0038962,             0.63643,             0.54341,              0.5845,             0.33222,             0.03981,            0.026356,           0.0092333,            0.007921,            0.007921,            0.007921
                  44,            0.034504,            0.022455,           0.0039281,             0.62637,             0.52912,             0.57141,              0.3243,             0.04066,            0.027651,            0.010034,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034295,            0.022254,            0.003933,             0.63832,             0.53412,             0.58431,             0.33009,            0.039488,            0.026558,           0.0095248,            0.007822,            0.007822,            0.007822
                  46,            0.034022,            0.021994,           0.0040419,             0.64479,             0.54186,             0.58403,             0.33088,            0.039525,            0.026697,           0.0092268,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034001,            0.022272,            0.003904,               0.655,             0.52956,             0.58473,             0.33169,            0.039534,            0.026593,           0.0093781,            0.007723,            0.007723,            0.007723
                  48,            0.033905,              0.0222,           0.0038529,             0.63123,             0.53928,             0.58382,             0.32992,            0.039717,            0.026457,            0.009425,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034059,            0.022228,           0.0037196,             0.64421,             0.53655,             0.58728,             0.33411,            0.039663,            0.026694,            0.009233,            0.007624,            0.007624,            0.007624
                  50,            0.033718,             0.02202,           0.0039846,             0.66054,             0.54149,             0.59693,             0.33933,            0.038715,             0.02636,           0.0089114,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033658,            0.022132,           0.0036861,             0.66638,             0.52555,             0.58685,             0.33594,            0.038991,            0.027079,           0.0094936,            0.007525,            0.007525,            0.007525
                  52,            0.033663,            0.021777,           0.0037224,             0.66761,             0.53283,             0.59444,             0.34044,            0.038655,             0.02685,           0.0097129,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033442,            0.021874,            0.003742,             0.66111,             0.53413,             0.59576,             0.33944,            0.038917,            0.026958,           0.0095403,            0.007426,            0.007426,            0.007426
                  54,            0.033313,            0.022005,           0.0037822,             0.66024,             0.52956,             0.59322,             0.33912,            0.039126,            0.026945,           0.0094822,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033558,               0.022,           0.0038105,             0.66413,             0.52328,             0.58712,             0.33801,            0.039215,            0.027253,           0.0097025,            0.007327,            0.007327,            0.007327
                  56,            0.033086,            0.021785,            0.003703,             0.65665,             0.52999,             0.58428,             0.33566,             0.03948,            0.027398,            0.009529,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033037,            0.021573,           0.0036736,              0.6603,             0.52662,             0.58467,             0.33557,            0.039402,             0.02711,           0.0095233,            0.007228,            0.007228,            0.007228
                  58,            0.033138,            0.021779,           0.0036182,             0.66345,             0.52697,             0.58564,             0.33587,             0.03944,             0.02697,           0.0094154,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033233,            0.021828,           0.0035174,              0.6693,             0.51985,             0.58635,             0.33708,            0.039335,            0.027024,           0.0091914,            0.007129,            0.007129,            0.007129
                  60,            0.032784,            0.021768,           0.0035528,             0.67087,             0.52538,             0.58864,             0.33812,            0.039289,            0.026885,           0.0092499,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032938,            0.021639,           0.0035172,             0.66908,             0.52841,             0.58945,             0.33801,            0.039148,             0.02695,           0.0092097,             0.00703,             0.00703,             0.00703
                  62,            0.032909,            0.021557,           0.0036122,             0.66578,              0.5349,             0.59219,             0.33949,            0.038906,            0.026841,            0.009162,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032755,            0.021601,           0.0036463,             0.65941,             0.53597,             0.59497,             0.34264,            0.038547,             0.02667,           0.0091156,            0.006931,            0.006931,            0.006931
                  64,            0.032704,              0.0218,           0.0035012,             0.65934,             0.53892,             0.59729,             0.34402,            0.038524,            0.026522,           0.0092301,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032497,            0.021328,           0.0034713,             0.66275,             0.54411,             0.60184,             0.34659,            0.038263,            0.026346,           0.0091674,            0.006832,            0.006832,            0.006832
                  66,            0.032528,            0.021373,           0.0034431,             0.66883,             0.54679,             0.60484,             0.34936,            0.038159,             0.02637,           0.0092711,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03247,            0.021238,           0.0034228,             0.68449,             0.53796,             0.60487,             0.35044,            0.038072,            0.026323,           0.0093045,            0.006733,            0.006733,            0.006733
                  68,            0.032378,              0.0215,           0.0035143,             0.68243,             0.54211,             0.60699,             0.35107,            0.038115,            0.026376,            0.009194,           0.0066835,           0.0066835,           0.0066835
                  69,            0.032414,            0.021335,           0.0035129,              0.6829,             0.54603,               0.609,              0.3523,             0.03802,            0.026227,           0.0091137,            0.006634,            0.006634,            0.006634
                  70,            0.032178,            0.021312,           0.0034725,             0.68903,             0.54156,             0.60905,             0.35235,            0.038086,            0.026221,             0.00909,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032292,            0.021327,           0.0034012,              0.6835,             0.54595,             0.60947,             0.35309,            0.038005,            0.026184,            0.009058,            0.006535,            0.006535,            0.006535
                  72,            0.032036,            0.021232,           0.0034822,             0.67902,             0.54629,             0.60984,             0.35376,            0.037901,            0.026158,           0.0089824,           0.0064855,           0.0064855,           0.0064855
                  73,            0.032166,            0.021339,            0.003327,             0.67872,             0.54968,             0.60923,             0.35339,            0.037918,            0.026251,           0.0089638,            0.006436,            0.006436,            0.006436
                  74,            0.031974,            0.021221,           0.0033441,             0.67689,             0.54881,             0.60898,             0.35344,            0.038008,            0.026356,           0.0090296,           0.0063865,           0.0063865,           0.0063865
                  75,             0.03192,            0.021215,            0.003323,             0.67504,              0.5521,             0.60885,             0.35312,            0.038032,            0.026403,           0.0090485,            0.006337,            0.006337,            0.006337
                  76,            0.031909,             0.02122,           0.0033647,             0.67531,              0.5511,              0.6105,             0.35424,            0.037945,            0.026358,           0.0090586,           0.0062875,           0.0062875,           0.0062875
                  77,            0.031667,            0.021166,           0.0032407,             0.67752,             0.55297,             0.61085,             0.35447,             0.03793,            0.026345,           0.0090315,            0.006238,            0.006238,            0.006238
                  78,             0.03177,            0.021011,           0.0034189,             0.67908,             0.55326,             0.60996,             0.35469,            0.037931,             0.02632,           0.0090659,           0.0061885,           0.0061885,           0.0061885
                  79,            0.031685,            0.021137,           0.0033048,              0.6778,             0.55353,             0.60943,             0.35468,            0.037959,            0.026295,           0.0090789,            0.006139,            0.006139,            0.006139
                  80,            0.031787,            0.021168,           0.0032554,             0.68054,              0.5547,             0.60911,             0.35428,            0.037983,            0.026338,            0.009104,           0.0060895,           0.0060895,           0.0060895
                  81,             0.03156,            0.021262,           0.0032209,             0.67629,             0.55858,             0.61009,             0.35381,            0.038051,            0.026429,           0.0091054,             0.00604,             0.00604,             0.00604
                  82,            0.031535,            0.021271,           0.0031307,             0.67906,             0.55353,             0.61051,             0.35423,            0.038041,            0.026398,           0.0091098,           0.0059905,           0.0059905,           0.0059905
                  83,            0.031361,            0.020921,           0.0032912,               0.682,             0.55241,             0.61098,             0.35421,            0.038035,             0.02641,           0.0091076,            0.005941,            0.005941,            0.005941
                  84,             0.03164,            0.021133,           0.0031067,             0.68037,              0.5519,             0.61018,             0.35483,            0.038007,            0.026379,            0.009111,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031314,            0.020926,           0.0031644,             0.69082,             0.54859,             0.61139,             0.35534,            0.037969,            0.026348,           0.0091019,            0.005842,            0.005842,            0.005842
                  86,            0.031288,            0.020909,            0.003138,             0.68805,             0.55088,             0.61205,              0.3555,            0.037987,            0.026343,           0.0091005,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031113,            0.021021,           0.0032134,             0.69177,             0.55038,             0.61182,             0.35569,            0.037946,            0.026349,            0.009089,            0.005743,            0.005743,            0.005743
                  88,            0.030805,            0.020697,           0.0031279,             0.69503,             0.54633,             0.61193,             0.35632,            0.037937,            0.026364,           0.0090852,           0.0056935,           0.0056935,           0.0056935
