               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10129,            0.033294,            0.036562,             0.75928,            0.029434,            0.006331,           0.0013854,            0.090721,            0.029668,            0.027605,            0.070056,           0.0033271,           0.0033271
                   1,            0.077955,            0.031152,            0.020844,              0.2088,             0.19136,             0.13957,            0.052728,            0.069101,            0.027243,             0.01632,            0.040023,           0.0066275,           0.0066275
                   2,             0.06551,            0.029895,            0.015616,             0.17721,             0.17486,             0.11056,            0.044318,            0.068536,            0.030791,            0.020055,            0.009957,           0.0098948,           0.0098948
                   3,            0.055603,            0.027935,            0.010768,             0.29672,             0.37175,             0.28575,             0.12714,            0.055471,            0.026151,            0.011951,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050313,            0.026791,            0.008946,             0.43608,             0.35959,             0.33969,             0.16215,            0.056393,            0.028032,            0.013973,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04705,            0.025762,           0.0078802,             0.51247,             0.39622,              0.3907,             0.19323,            0.052514,            0.026922,             0.01195,            0.009802,            0.009802,            0.009802
                   6,             0.04544,            0.025388,           0.0074682,             0.55698,             0.45898,             0.46883,             0.23161,            0.047703,             0.02486,           0.0093244,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043729,            0.024895,           0.0069861,             0.57666,             0.46125,             0.46752,             0.24271,            0.047488,            0.024558,           0.0095712,            0.009703,            0.009703,            0.009703
                   8,            0.042621,            0.024223,           0.0066179,             0.60681,             0.43841,             0.46873,             0.24297,            0.048508,            0.027137,            0.010638,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042024,            0.024082,           0.0063776,             0.61393,             0.47241,             0.50279,             0.26447,            0.046123,            0.024593,           0.0094063,            0.009604,            0.009604,            0.009604
                  10,            0.041405,            0.023956,           0.0060333,             0.61255,             0.45293,              0.4953,             0.26918,            0.045893,            0.026045,            0.009653,           0.0095545,           0.0095545,           0.0095545
